"species","phylo_body_size_proxy_mm_observed","phylo_body_size_proxy_mm_observed_confidence","phylo_body_size_proxy_mm","phylo_body_size_proxy_mm_status","phylo_body_size_proxy_mm_recommendation","phylo_body_size_proxy_mm_method","phylo_body_size_proxy_mm_training_n","phylo_body_size_proxy_mm_top_donor_species","phylo_body_size_proxy_mm_top_donor_distance","phylo_body_size_proxy_mm_neighbor_species","phylo_body_size_proxy_mm_neighbor_support","phylo_body_size_proxy_mm_neighbor_support_label","phylo_body_size_proxy_mm_cv_primary_metric_type","phylo_body_size_proxy_mm_cv_primary_metric_value","phylo_development_mode_observed","phylo_development_mode_observed_confidence","phylo_development_mode","phylo_development_mode_status","phylo_development_mode_recommendation","phylo_development_mode_method","phylo_development_mode_training_n","phylo_development_mode_top_donor_species","phylo_development_mode_top_donor_distance","phylo_development_mode_neighbor_species","phylo_development_mode_neighbor_support","phylo_development_mode_neighbor_support_label","phylo_development_mode_cv_primary_metric_type","phylo_development_mode_cv_primary_metric_value","phylo_aquaticity_index_observed","phylo_aquaticity_index_observed_confidence","phylo_aquaticity_index","phylo_aquaticity_index_status","phylo_aquaticity_index_recommendation","phylo_aquaticity_index_method","phylo_aquaticity_index_training_n","phylo_aquaticity_index_top_donor_species","phylo_aquaticity_index_top_donor_distance","phylo_aquaticity_index_neighbor_species","phylo_aquaticity_index_neighbor_support","phylo_aquaticity_index_neighbor_support_label","phylo_aquaticity_index_cv_primary_metric_type","phylo_aquaticity_index_cv_primary_metric_value","phylo_microhabitat_class_observed","phylo_microhabitat_class_observed_confidence","phylo_microhabitat_class","phylo_microhabitat_class_status","phylo_microhabitat_class_recommendation","phylo_microhabitat_class_method","phylo_microhabitat_class_training_n","phylo_microhabitat_class_top_donor_species","phylo_microhabitat_class_top_donor_distance","phylo_microhabitat_class_neighbor_species","phylo_microhabitat_class_neighbor_support","phylo_microhabitat_class_neighbor_support_label","phylo_microhabitat_class_cv_primary_metric_type","phylo_microhabitat_class_cv_primary_metric_value"
"abditus",,,51.6693366084934,"phylo_inferred_for_missing","sensitivity_only_fill_missing_with_explicit_phylo_flag","phylogenetic_inverse_distance_knn",35,"auriculatus",16.804863,"auriculatus;bairdi;fuscus;lycos;valtos",0.872989060617135,"neighbor_consistency_score","mae",11.2445395408388,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",36,,,,,,"accuracy",0.972222222222222,1,"low","1","low_confidence_observed_supported_by_phylogeny","keep_observed_but_mark_phylo_support","phylogenetic_inverse_distance_knn",32,"auriculatus",16.804863,"auriculatus;bairdi;fuscus;lycos;valtos",0.8,"weighted_vote_share","accuracy",0.71875,"streamside","low","streamside","low_confidence_observed_supported_by_phylogeny","keep_observed_but_mark_phylo_support","phylogenetic_inverse_distance_knn",32,"auriculatus",16.804863,"auriculatus;bairdi;fuscus;lycos;valtos",0.8,"weighted_vote_share","accuracy",0.71875
"adatsihi",36.5,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",35,,,,,,"mae",11.2445395408388,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",36,,,,,,"accuracy",0.972222222222222,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875
"aeneus",29.3,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",35,,,,,,"mae",11.2445395408388,"direct_development","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",36,,,,,,"accuracy",0.972222222222222,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875
"amphileucus",99.5,"high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",35,,,,,,"mae",11.2445395408388,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",36,,,,,,"accuracy",0.972222222222222,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875
"anicetus",45.099,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",35,,,,,,"mae",11.2445395408388,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",36,,,,,,"accuracy",0.972222222222222,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875
"apalachicolae",45.43,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",35,,,,,,"mae",11.2445395408388,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",36,,,,,,"accuracy",0.972222222222222,1,"high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875,"streamside","high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875
"aureatus",53.5,"high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",35,,,,,,"mae",11.2445395408388,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",36,,,,,,"accuracy",0.972222222222222,2,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875,"stream_aquatic","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875
"auriculatus",48.46,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",35,,,,,,"mae",11.2445395408388,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",36,,,,,,"accuracy",0.972222222222222,3,"high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875,"swamp_coastal_plain","high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875
"bairdi",53.701,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",35,,,,,,"mae",11.2445395408388,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",36,,,,,,"accuracy",0.972222222222222,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875
"balsameus",33,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",35,,,,,,"mae",11.2445395408388,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",36,,,,,,"accuracy",0.972222222222222,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",32,,,,,,"accuracy",0.71875
